"Timestamp","Temperature","Lux","R","G","B","C",,"Timestamp2","temperature2","Lux2","R2","G2","B2","C2"
1585992566603,6979,8015,12796,15789,17422,40233,,1585993080074,6442,2006,3513,4059,4453,10767
1585992688082,0,0,0,0,0,0,,1585993201422,7106,4582,7972,9722,11168,25699
1585992809537,0,0,0,0,0,0,,1585993322759,6891,4801,8600,10200,11622,26840
1585992930992,0,0,0,0,0,0,,1585993444104,7291,4134,7352,9066,10641,24343
1585993052322,0,0,0,0,0,0,,1585993565450,5757,8064,15162,16067,16905,41678
1585993173975,0,0,0,0,0,0,,1585993686818,6476,6948,12029,13914,15176,35855
1585993295335,0,0,0,0,0,0,,1585993808138,5636,9274,17532,18317,19052,46419
1585993416679,0,0,0,0,0,0,,1585993929397,6455,6716,11705,13461,14660,34358
1585993538021,0,0,0,0,0,0,,1585994050728,5664,9329,17266,18208,18860,46015
1585993593145,0,13994,27413,29590,32531,65535,,1585994172077,6686,5910,10542,12269,13706,31663
1585993714489,6487,8492,15744,17783,19762,45609,,1585994293315,7058,4457,8129,9730,11287,25842
1585993835835,6440,8488,15910,17859,19858,46082,,1585994414658,6359,5800,10662,12022,13271,31792
1585993957181,6557,7046,13132,14972,16835,39472,,1585994536004,7003,5149,8985,10873,12427,28869
1585994078526,6362,8763,16495,18401,20391,47850,,1585994657248,7133,4993,8753,10676,12318,28297
1585994199977,6498,6698,12528,14188,15887,37281,,1585994778619,7153,5003,8879,10788,12490,28490
1585994321318,6389,7727,13978,15844,17409,41281,,1585994899938,7390,4438,7771,9695,11396,25937
1585994442873,5812,11046,21205,22398,23803,57345,,1585995021279,6174,6257,11896,13031,14275,34033
1585994564213,6700,7087,12773,14923,16832,39608,,1585995142522,6193,6396,11954,13190,14403,34438
1585994685562,7194,4419,8077,9869,11661,27153,,1585995263867,6144,7361,13436,14861,16030,38413
1585994806902,7139,3967,7692,9175,10953,25251,,1585995385346,6092,8197,14863,16373,17515,41682
1585994928267,7202,4304,8076,9776,11618,26803,,1585995506570,6116,7589,14167,15486,16742,39490
1585995049592,5954,7594,15365,16182,17705,42187,,1585995627943,6238,6611,12521,13793,15158,35798
1585995170938,5963,6941,14175,14911,16384,39185,,1585995749245,7067,4977,8842,10726,12408,28851
1585995292282,6021,7345,14738,15673,17226,41273,,1585995870593,6755,6675,11480,13663,15251,35919
1585995413730,6014,7146,14401,15296,16834,40515, ,1585995992039,6403,8216,14287,16404,17812,42259
1585995535075,7185,4411,8415,10125,12075,27839,,1585996113383,6040,9294,16816,18451,19631,46812
1585995656527,6014,7434,15100,15981,17607,41966,,1585996234648,6750,6775,11743,13922,15556,36480
1585995777869,6885,5509,10447,12201,14150,32655,,1585996355976,6877,6728,11600,13903,15644,36328
1585995899317,6903,5538,10263,12102,13979,32450,,1585996477317,6243,7230,13504,14943,16356,38642
1585996020661,5942,8651,17077,18108,19655,47182,,1585996598661,6151,7806,14439,15916,17252,41278
1585996142004,6610,6414,12095,13836,15708,36986,,1585996720218,6714,7372,12654,14993,16647,39094
1585996263349,6659,6244,11542,13330,15095,35450,,1585996841569,6825,7329,12622,15037,16815,38897
1585996384695,6027,7852,15135,16299,17707,42570,,1585996962899,6274,7169,13650,15059,16624,39139
1585996506039,5831,8513,16935,17737,19106,46131,,1585997084246,6400,6377,12064,13515,15080,35687
1585996627384,5913,8169,16183,17112,18562,44930,,1585997205593,6363,6509,12318,13764,15325,36489
1585996748942,6760,5027,9580,11118,12857,30411,,1585997326943,6186,8419,15337,17049,18459,44321
1585996870381,6950,4513,8594,10164,11940,28080,,1585997448278,6060,10168,18267,20138,21432,51363
1585996991776,6869,5027,9569,11191,13020,30401,,1585997569631,6068,9761,17809,19527,20873,49493
1585997113173,5877,8895,17654,18575,20073,48248,,1585997690967,6932,6238,10978,13145,14954,34619
1585997234522,5881,9158,17844,18903,20336,49291,,1585997812210,6746,6750,11842,13979,15670,36674
1585997355864,6001,7990,15727,16792,18318,44056,,1585997933561,6193,8388,15374,17046,18479,43978
1585997477310,5981,7267,14644,15516,17035,41253,,1585998054904,6424,7266,13116,14935,16461,39120
1585997598655,6054,6269,13042,13789,15385,37039,,1585998176449,6281,8033,14532,16303,17736,42104
1585997720004,6921,4749,9341,10852,12770,29466,,1585998297795,6343,7640,14048,15754,17303,40713
1585997841449,6472,6534,12608,14129,15948,37481,,1585998419140,6422,7363,13490,15257,16857,39624
1585997962908,5965,7826,15608,16540,18052,43351,,1585998540487,6385,7245,13357,15045,16621,39311
1585998084241,5991,7916,15590,16627,18125,43589,,1585998661831,6331,8248,14786,16716,18219,43293
