"Timestamp","Lamp1","Lamp2","Lamp3","Lux","ColorTemperature","Red","Green","Blue",
1586798122391,250,250,250,29,3324,79,56,46,
1586798170313,250,250,250,44,3296,142,92,75,
1586798203048,250,250,250,139,5321,305,297,314,
1586798235745,250,250,250,136,5323,298,290,307,
1586798269558,250,250,250,149,4611,365,314,311,
1586798309999,250,250,250,162,4737,388,342,343,
1586798342461,250,250,250,116,4213,313,247,235,
1586798375570,250,250,250,93,4272,249,199,191,
1586798407790,250,250,250,113,4136,303,237,222,
1586798440790,250,250,250,102,4159,279,218,206,
1586798473700,250,250,250,110,4165,291,230,216,
1586798505774,250,250,250,109,4161,290,229,215,
1586798537518,250,250,250,108,4148,289,227,213,
1586798568740,250,250,250,108,4140,288,226,212,
1586798600176,250,250,250,107,4140,287,225,211,
1586798631713,250,250,250,108,4122,287,225,210,
1586798663894,250,250,250,107,4108,287,224,209,
1586798695630,250,250,250,108,4094,287,224,208,
1586798728101,250,250,250,107,4090,286,223,207,
1586798760237,250,250,250,107,4086,285,222,206,
1586798791997,250,250,250,106,4058,285,221,204,
1586798823836,250,250,250,106,4053,284,220,203,
1586798855504,250,250,250,105,4039,284,219,202,
1586798887412,250,250,250,105,4035,283,218,201,
1586798919158,250,250,250,104,4006,283,217,199,
1586798956948,250,250,250,104,3997,282,216,198,
1586798988506,250,250,250,103,3993,281,215,197,
1586799020706,250,250,250,103,3978,281,214,196,
1586799052130,250,250,250,102,3964,281,213,195,
1586799083399,250,250,250,102,3945,281,213,194,
1586799114751,250,250,250,102,3940,280,212,193,
1586799146280,250,250,250,102,3921,279,211,191,
1586799178335,250,250,250,101,3906,278,209,189,
1586799209560,250,250,250,100,3896,277,208,188,
1586799240598,250,250,250,100,3882,276,207,186,
1586799272368,250,250,250,100,3862,276,206,185,
1586799305764,250,250,250,96,3851,270,200,180,
1586799337358,250,147,254,96,3830,269,199,178,
1586799369230,254,254,254,88,3710,270,191,171,
1586799400648,254,254,254,89,3695,270,191,170,
1586799432294,254,254,254,89,3680,272,192,171,
1586799464244,254,144,254,89,3649,273,192,170,
1586799496046,254,225,254,89,3643,272,191,169,
1586799528250,254,254,254,89,3613,273,191,168,
1586799561522,254,254,254,89,3598,273,190,167,
1586799593396,254,254,254,89,3591,273,190,167,
1586799625004,254,254,254,89,3555,274,190,166,
1586799656238,254,254,254,88,3531,275,189,165,
1586799688150,254,254,254,89,3494,277,190,165,
1586799719632,254,254,254,88,3470,279,190,165,
1586799752450,254,254,254,88,3433,280,190,164,
1586799783890,254,254,254,89,3387,283,191,164,
1586799816852,254,254,254,91,3333,288,194,165,
1586799848611,254,254,254,92,3296,293,196,167,
1586799881012,254,254,254,92,3258,294,196,166,
1586799912709,254,254,254,91,3227,291,193,162,
1586799945211,254,254,254,89,3195,288,189,158,
1586799976850,254,254,254,87,3171,284,185,154,
1586800008523,254,254,254,85,3138,280,181,149,
1586800040370,254,254,254,83,3128,275,177,145,
1586800073034,254,254,254,83,3103,273,175,142,
1586800105160,254,254,254,81,3111,271,173,141,
1586800137524,254,254,254,81,3109,268,171,139,
1586800169291,254,254,254,77,3116,263,166,135,
1586800200406,254,254,254,75,3122,256,161,130,
1586800233276,254,254,254,73,3112,250,156,125,
1586800265222,254,254,254,73,3102,247,154,122,
1586800297398,254,254,254,71,3110,244,151,120,
1586800328912,254,254,254,70,3108,241,149,118,
1586800360772,254,254,254,70,3116,239,148,117,
1586800392398,254,254,254,69,3105,235,145,114,
1586800424248,254,254,254,67,3105,234,143,113,
1586800455376,254,254,254,67,3105,232,142,111,
1586800486508,254,254,254,67,3095,231,141,110,
1586800517740,254,254,254,66,3086,229,139,108,
1586800548662,254,254,254,65,3076,228,138,107,
1586800580100,254,254,254,64,3064,225,136,105,
1586800611370,254,254,254,66,3058,228,138,106,
1586800642358,254,254,254,67,3043,230,139,106,
1586800673442,254,254,254,66,3043,229,138,105,
1586800705360,254,254,254,66,3033,228,137,104,
1586800736680,254,254,254,66,3023,228,137,104,
1586800768244,254,254,254,65,3013,226,135,102,
1586800799396,254,254,254,64,3008,221,132,99,
1586800830620,254,254,254,64,3023,225,134,101,
1586800861940,254,254,254,63,3026,225,133,100,
1586800892970,254,254,254,63,3033,223,132,99,
1586800924298,254,254,254,62,3033,222,131,98,
1586800955280,254,254,254,62,3016,222,130,97,
1586800986974,254,254,254,63,3006,221,130,96,
1586801019022,254,254,254,61,3023,220,129,96,
1586801051674,254,254,254,61,3031,218,128,95,
1586801082288,254,254,254,60,3013,218,127,94,
1586801114058,254,254,254,61,3031,217,127,94,
1586801145776,254,254,254,60,3013,217,126,93,
1586801177652,254,254,254,60,3021,216,126,93,
1586801209279,254,254,254,59,3003,216,125,92,
1586801241132,254,254,254,57,2995,210,121,89,
1586801276744,254,254,254,78,3157,207,137,96,
1586801309340,254,254,254,79,3142,211,139,97,
1586801340649,254,254,254,78,3149,208,137,96,
1586801372726,254,254,254,79,3139,207,137,95,
1586801404442,254,254,254,77,3139,207,136,95,
1586801436666,254,254,254,78,3121,207,136,94,
1586801468336,254,254,254,78,3111,206,135,93,
1586801500448,254,254,254,78,3111,206,135,93,
1586801532758,254,254,254,77,3100,205,134,92,
1586801564620,198,254,254,43,3117,128,81,58,
1586801595752,254,254,254,77,3090,204,133,91,
1586801627572,254,254,254,76,3071,204,132,90,
1586801660042,254,254,254,77,3061,203,132,89,
1586801692004,254,254,254,75,3061,203,131,89,
1586801724690,254,254,254,76,3042,203,131,88,
1586801757040,254,254,254,76,3050,202,131,88,
1586801788978,254,254,254,75,3031,202,130,87,
1586801820830,254,254,254,75,3029,200,129,86,
1586801852891,254,254,254,75,3018,199,128,85,
1586801884906,254,254,254,75,3018,199,128,85,
1586801916472,254,254,254,74,3007,198,127,84,
1586801948096,254,254,254,73,2988,198,126,83,
1586801979985,254,254,254,73,2988,198,126,83,
1586802011702,254,254,254,74,2976,197,126,82,
1586802043164,254,254,254,73,2976,197,125,82,
1586802076040,254,254,254,74,2965,196,125,81,
1586802107832,254,254,254,74,2965,196,125,81,
1586802138836,254,254,254,73,2946,196,124,80,
1586802169805,254,254,254,73,2946,196,124,80,
1586802200506,254,254,254,73,2954,195,124,80,
1586802231843,254,254,254,74,2957,197,125,81,
1586802263195,254,254,254,73,2946,196,124,80,
1586802294456,254,254,254,73,2954,195,124,80,
1586802325925,254,254,254,74,2934,195,124,79,
1586802356362,254,254,254,73,2934,195,123,79,
1586802387389,254,254,254,73,2934,195,123,79,
1586802418094,254,254,254,73,2942,194,123,79,
1586802448937,254,254,254,73,2942,194,123,79,
1586802479655,254,254,254,74,2922,194,123,78,
1586802510291,254,254,254,74,2922,194,123,78,
1586802541095,254,254,254,72,2922,194,122,78,
1586802571941,254,254,254,72,2922,194,122,78,
1586802602459,254,254,254,72,2922,194,122,78,
1586802633565,254,254,254,72,2922,194,122,78,
1586802663987,254,254,254,72,2922,194,122,78,
1586802694443,254,254,254,72,2922,194,122,78,
1586802724904,254,254,254,73,2903,194,122,77,
1586802755831,254,254,254,73,2903,194,122,77,
1586802786472,254,254,254,73,2903,194,122,77,
1586802817169,254,254,254,73,2911,193,122,77,
1586802847687,254,254,254,73,2911,193,122,77,
1586802878321,254,254,254,72,2918,192,121,77,
1586802908717,254,254,254,71,2911,193,121,77,
1586802939435,254,254,254,52,2753,193,105,69,
1586802970469,254,254,254,52,2753,193,105,69,
1586803001083,254,254,254,53,2740,192,105,68,
1586803031597,254,254,254,53,2740,192,105,68,
1586803062260,254,254,254,53,2740,192,105,68,
1586803092837,254,254,254,53,2740,192,105,68,
1586803123351,254,254,254,53,2740,192,105,68,
